,flux
rubisco_carboxylase,0.7702446372906311
phosphoglycerate_kinase,1.4386994706683254
gadph,1.4386995029000311
triose_phosphate_isomerase,0.6520637724216627
aldolase_dhap_gap,0.267158649022714
aldolase_dhap_e4p,0.2567482115800601
fbpase,0.2671586491596365
transketolase_gap_f6p,0.2567482115800601
transketolase_gap_s7p,0.2567482115800601
SBPase,0.2567482124302107
ribose_phosphate_isomerase,0.2567482115800601
ribulose_phosphate_epimerase,0.5134964287112354
phosphoribulokinase,0.7702446372906315
g6pi,0.010410339257305168
phosphoglucomutase,0.010410872164356988
ex_pga,0.10178977168122859
ex_gap,0.005980656280080189
ex_dhap,0.12815691101004567
ex_g1p,0.010410436729415709
atp_synthase,2.2193545769200784
