nickname,name variations
beth,elizabeth
janet,jeanette
loren,lorenzo
brody,broderick
billy,william
tricia,patricia
percy,percival
ronna,veronica
rafa,rafaela
jenny,genevieve
rolly,roland
cammie,camille
albert,elbert
erin,aaron
bab,barbara
shirl,shirley
wilber,gilbert
johnny,john
charlie,charles
ricka,fredericka
cintha,cynthia
syd,sidney
aze,azariah
julie,julia
len,leonard
laffie,lafayette
renny,reginald
syl,sylvester
berney,bernard
jimmie,james
lias,elias
mimi,miriam
l.r.,leroy
eloise,heloise
dora,isadora
wash,washington
leet,philetus
meus,bartholomew
libby,elizabeth
waldo,oswald
solly,solomon
ike,isaac
hub,hubert
izzy,isidore
marv,marvin
mima,jemima
shel,shelton
junie,junior
sol,solomon
sene,asenath
lanna,eleanor
elaine,eleanor
zach,zachariah
ossy,oswald
jud,judson
hez,hezekiah
winnet,winifred
gina,regina
cordy,cordelia
nap,napoleon
alfy,alfreda
virgy,virginia
eben,ebenezer
gabe,gabriel
kiah,hezekiah
gertie,gertrude
renius,cyrenius
dobbin,robert
maggy,margaret
chrissy,christine
vonna,yvonne
cille,lucille
thad,thaddeus
tabby,tabitha
obie,obadiah
mickey,michelle
brina,sabrina
june,junior
fay,faith
dony,donald
sid,sidney
sy,sylvester
davey,david
prue,prudence
lettice,letitia
serene,cyrenius
stu,stuart
dick,richard
tess,theresa
philly,adelphia
trisha,beatrice
eph,ephraim
dave,david
rollo,roland
heidi,adelaide
babs,barbara
bridie,bridget
hop,hopkins
cornie,cornelia
sadie,sarah
titia,letitia
amelia,parmelia
dotty,dorothy
trudy,gertrude
biddy,bridget
inez,agnes
dina,geraldine
eric,derrick
bess,elizabeth
cy,cyrenius
dortha,dorothy
mitch,mitchell
trixie,beatrice
nita,juanita
mick,michael
theo,theodore
obed,obadiah
betsy,elizabeth
dyche,epaphroditius
lotta,charlotte
court,courtney
cal,calvin
manuel,emanuel
vonnie,veronica
mamie,mary
carl,charles
hallie,mahala
becky,rebecca
janie,jane
micky,michael
cilla,priscilla
scotty,prescott
riche,aldrich
kizzie,keziah
herb,herbert
ozzy,oswald
nelle,cornelia
dicky,richard
ditus,epaphroditius
nick,nicholas
franky,veronica
hitty,mehitabel
liz,elizabeth
hob,robert
lineau,leonard
bart,bartholomew
clair,clarence
lazar,eleazer
sophie,sophia
zolly,solomon
dilly,deliverance
mindy,melinda
cassandra,sandra
jock,john
connie,constance
sly,sylvester
gil,gilbert
jill,julia
sher,sheridan
clum,columbus
tilly,matilda
flossy,florence
vessie,sylvester
leo,leonard
suzie,susan
pam,pamela
sis,frances
abby,abigail
bartel,bartholomew
see,seymour
vet,sylvester
reba,rebecca
hattie,harriet
flo,florence
toby,tobias
dicie,dicey
gerrie,geraldine
smitty,smith
gert,gertrude
field,winfield
tessie,theresa
mees,bartholomew
ginny,virginia
swene,cyrenius
chan,chauncey
lish,elisha
lige,elijah
liza,elizabeth
jake,jacob
lenora,eleanor
jr,junior
zed,zedediah
nace,ignatius
trix,beatrice
lib,elizabeth
maud,matilda
lula,luella
fritz,frederick
hugh,hubert
sal,solomon
than,nathaniel
thirza,theresa
barby,barbara
day,david
peter,patrick
vince,vincent
elouise,heloise
mike,michael
molly,mary
nappy,napoleon
lanny,roland
dot,dorothy
lem,lemuel
anna,hannah
horry,horace
hiel,jehiel
art,arthur
claas,nicholas
melia,parmelia
darry,darlene
van,sullivan
esther,hester
melissa,lisa
jaap,jacob
tracy,theresa
assene,asenath
jim,james
ralph,raphael
dickon,richard
donnie,donald
chick,charles
zeph,zephaniah
flora,florence
tish,letitia
arly,arlene
lonzo,alonzo
maddy,madeline
clare,clarence
ernie,ernest
benjy,benjamin
don,donald
ginger,virginia
dee,delores
niel,cornelius
ronie,veronica
tory,victoria
rube,reuben
jack,john
leafa,relief
mae,mary
ced,cedric
dob,robert
josey,josephine
mark,marcus
nelia,cornelia
hobkin,robert
hopp,hopkins
saul,solomon
donny,donald
wilma,wilhelmina
betty,elizabeth
lenny,leonard
rusty,russell
eva,evaline
lottie,charlotte
jacob,jacobus
delphia,adelphia
del,delbert
iggy,ignatius
celia,cecilia
bela,william
torie,victoria
joe,joseph
thursa,theresa
vicky,victoria
delly,deliverance
kizza,keziah
josh,joshua
cam,cameron
hessy,hester
chet,chester
em,emeline
nabby,abigail
prissy,priscilla
jem,james
lily,lillah
paddy,patrick
joy,joyce
bias,tobias
jed,jedidiah
robbie,roberta
becca,rebecca
micah,michael
orlando,roland
fina,josephine
elly,elmira
alla,alexandra
cene,cyrenius
tessa,theresa
essa,vanessa
wendy,gwendolyn
jimmy,james
etty,henrietta
merv,mervyn
lola,delores
zachy,zachariah
lissa,melissa
gene,eugene
phena,tryphena
claes,nicholas
perry,pelegrine
beck,rebecca
salmon,solomon
dite,epaphroditius
mabel,mehitabel
walt,walter
dolly,dorothy
sally,sarah
hermie,hermione
gum,montgomery
alice,lisa
bridgie,bridget
bernie,bernard
scott,prescott
eppa,epaphroditius
char,charlotte
link,lincoln
sully,sullivan
bessie,elizabeth
lettie,letitia
darkey,dorcus
vicki,victoria
fanny,frances
lizzie,elizabeth
amy,amelia
brad,bradford
frony,veronica
bob,robert
gwen,gwendolyn
ferdie,ferdinand
pres,prescott
roy,leroy
natius,ignatius
penny,penelope
bill,william
mat,martha
zeb,zebedee
fate,lafayette
mina,wilhelmina
reg,reginald
left,eliphalet
manny,emanuel
brady,broderick
bat,bartholomew
bea,beatrice
dyce,epaphroditius
norby,norbert
vanna,vanessa
biddie,bridget
vester,sylvester
irv,irving
manda,amanda
wood,woodrow
dickie,richard
archie,archibald
jereme,jeremiah
prudy,prudence
natti,nathan
tom,thomas
tommy,thomas
