prompt,output_name,seed,quality,aspect_ratio,negative_prompt
"A majestic mountain landscape at sunrise with golden light","mountain_sunrise",42,"high","16:9","buildings, people, cars"
"A cute kitten playing with a ball of yarn","kitten_yarn",123,"standard","1:1",""
"Abstract geometric patterns in blue and gold","abstract_blue_gold",456,"high","4:3","realistic, photographic"
"A peaceful forest clearing with sunbeams","forest_clearing",789,"standard","16:9","dark, scary, night"
"A vintage steam locomotive in a train station","vintage_train",101,"high","16:9","modern, electric, digital"
"A colorful hot air balloon festival","balloon_festival",202,"standard","16:9","crash, accident, storm"
"A cozy library with warm lighting and books","cozy_library",303,"high","4:3","empty, dark, messy"
"A futuristic city skyline at night","futuristic_city",404,"high","16:9","old, vintage, rural"
"A serene lake with mountains in the background","serene_lake",505,"standard","16:9","polluted, industrial, urban"
"A field of sunflowers under a blue sky","sunflower_field",606,"standard","16:9","wilted, dead, winter"
"A medieval castle on a hilltop","medieval_castle",707,"high","16:9","modern, skyscraper, contemporary"
"A tropical beach with palm trees","tropical_beach",808,"standard","16:9","cold, snow, winter"
"A bustling farmers market with fresh produce","farmers_market",909,"standard","4:3","empty, closed, night"
"A snow-covered cabin in the woods","snow_cabin",111,"high","16:9","summer, hot, desert"
"A butterfly garden with colorful flowers","butterfly_garden",222,"standard","1:1","dead, wilted, winter"
"A lighthouse on a rocky coast","lighthouse_coast",333,"high","9:16","inland, desert, city"
"A vintage car on a country road","vintage_car",444,"standard","16:9","modern, electric, futuristic"
"A waterfall in a lush jungle","jungle_waterfall",555,"high","9:16","dry, desert, urban"
"A starry night sky over a desert","starry_desert",666,"standard","16:9","cloudy, day, city lights"
"A Japanese garden with cherry blossoms","japanese_garden",777,"high","4:3","western, modern, industrial"
